"Property Name","Property Code","Units","S8 Units","Portfolio Mgr","Regional VP","Regional CM","Contract Type","Last Renewal","Contract Exp","Contract Admin","Next UA Baseline","Paperwork Rec","Sent to HUD/CA","Conf by CA","Date to Order RCS","Due to HUD","Rent Increase","Increase Type","Notes"
"Rose Tower","90097","168","120","Mike McKee","","","Option 2","","07/01/2034","Kentucky Housing Corporation","","","","","01/01/2014","04/01/2014","07/01/2014","RCS","test test test"
"Rose Tower","90097","168","120","Mike McKee","","","Option 2","","07/01/2034","Kentucky Housing Corporation","","","","","01/01/2014","04/01/2014","07/01/2014","RCS",""
"Rose Tower","90097","168","120","Mike McKee","","","Option 2","","07/01/2034","Kentucky Housing Corporation","","","","","","04/01/2015","07/01/2015","OCAF",""
"Trees - Holly","90104","94","94","Claire Beatty","","","Option 2","","08/31/2035","Colorado Housing and Finance Authority","","","","","03/01/2015","06/01/2015","09/01/2015","RCS",""
"Rose Tower","90097","168","120","Mike McKee","","","Option 2","","07/01/2034","Kentucky Housing Corporation","","","","","","04/01/2016","07/01/2016","OCAF","test"
"Rose Tower","90097","168","120","Mike McKee","","","Option 2","","07/01/2034","Kentucky Housing Corporation","","","","","","04/01/2016","07/01/2016","OCAF",""
"Trees - Holly","90104","94","94","Claire Beatty","","","Option 2","","08/31/2035","Colorado Housing and Finance Authority","","","","","","06/01/2016","09/01/2016","OCAF","test"
"Trees - Holly","90104","94","94","Claire Beatty","","","Option 2","","08/31/2035","Colorado Housing and Finance Authority","","","","","","06/01/2016","09/01/2016","OCAF",""
"Trees - Maple","90105","83","83","Claire Beatty","","","Option 1","","06/30/2037","Colorado Housing and Finance Authority","","","","","01/01/2017","04/01/2017","07/01/2017","RCS","test"
"Rose Tower","90097","168","120","Mike McKee","","","Option 2","","07/01/2034","Kentucky Housing Corporation","","","","","","04/01/2017","07/01/2017","OCAF",""
"Trees - Maple","90105","83","83","Claire Beatty","","","Option 1","","06/30/2037","Colorado Housing and Finance Authority","","","","","01/01/2017","04/01/2017","07/01/2017","RCS",""
"Trees - Holly","90104","94","94","Claire Beatty","","","Option 2","","08/31/2035","Colorado Housing and Finance Authority","","","","","","06/01/2017","09/01/2017","OCAF",""
"Hershey Plaza","75587","216","215","Claire Beatty","","","Option 1","","05/31/2037","Pennsylvania Housing Finance Agency","","","","","","02/28/2018","05/31/2018","OCAF",""
